Año,Mes,Periodo,Infraestructura,Aeropuerto,Tipo de ingreso,Rubro Ingreso,R. Ingreso - Ad. 1,R. Ingreso - Ad. 2,Importe por Servicios
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ATERRIZAJE Y DESPEGUE,Internacionales,Hasta 10 TM,862.16
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ATERRIZAJE Y DESPEGUE,Internacionales,Más de 10 hasta 35 TM,"2,738.86"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ATERRIZAJE Y DESPEGUE,Internacionales,Más de 100 TM,"1,662,385.31"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ATERRIZAJE Y DESPEGUE,Internacionales,Más de 35 hasta 70 TM,"135,987.10"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ATERRIZAJE Y DESPEGUE,Internacionales,Más de 70 hasta 100 TM,"1,231,509.93"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ATERRIZAJE Y DESPEGUE,Nacionales,Hasta 10 TM,"3,336.75"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ATERRIZAJE Y DESPEGUE,Nacionales,Más de 10 hasta 35 TM,"10,310.51"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ATERRIZAJE Y DESPEGUE,Nacionales,Más de 100 TM,0.00
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ATERRIZAJE Y DESPEGUE,Nacionales,Más de 35 hasta 70 TM,"218,267.91"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ATERRIZAJE Y DESPEGUE,Nacionales,Más de 70 hasta 100 TM,"501,669.32"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ESTACIONAMIENTO AERONAVES,Internacionales,Hasta 10 TM,32.59
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ESTACIONAMIENTO AERONAVES,Internacionales,Más de 10 hasta 35 TM,380.38
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ESTACIONAMIENTO AERONAVES,Internacionales,Más de 100 TM,"161,019.27"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ESTACIONAMIENTO AERONAVES,Internacionales,Más de 35 hasta 70 TM,"11,181.77"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ESTACIONAMIENTO AERONAVES,Internacionales,Más de 70 hasta 100 TM,"85,134.60"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ESTACIONAMIENTO AERONAVES,Nacionales,Hasta 10 TM,518.77
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ESTACIONAMIENTO AERONAVES,Nacionales,Más de 10 hasta 35 TM,434.70
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ESTACIONAMIENTO AERONAVES,Nacionales,Más de 100 TM,0.00
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ESTACIONAMIENTO AERONAVES,Nacionales,Más de 35 hasta 70 TM,"10,137.85"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ESTACIONAMIENTO AERONAVES,Nacionales,Más de 70 hasta 100 TM,"20,787.88"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,T U U A NACIONAL,-,-,"4,836,651.56"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,T U U A INTERNACIONAL,-,-,"9,411,977.47"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,SERVICIOS DE RAMPA,"Hasta 5,68 TM",-,"5,453.57"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,SERVICIOS DE RAMPA,Más de 152 TM hasta 188 TM,-,"63,737.08"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,SERVICIOS DE RAMPA,Más de 188 TM hasta 287 TM,-,"76,428.11"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,SERVICIOS DE RAMPA,Más de 287 TM,-,"46,375.08"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,SERVICIOS DE RAMPA,Más de 33 TM hasta 51 TM,-,"7,944.86"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,SERVICIOS DE RAMPA,"Más de 5,68 TM hasta 33 TM",-,"7,782.27"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,SERVICIOS DE RAMPA,"Más de 5,68 TM hasta 8,70 TM",-,"1,002.86"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,SERVICIOS DE RAMPA,Más de 51 TM hasta 56 TM,-,"35,637.97"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,SERVICIOS DE RAMPA,Más de 56 TM hasta 78 TM,-,"536,156.76"
