Año,Mes,Periodo,Infraestructura,Aeropuerto,Tipo de carga,Carga en TM
2019,Enero,Ene. 2019,AAP,Arequipa,carga nacional,170.83
2019,Enero,Ene. 2019,AAP,Ayacucho,carga nacional,17.16
2019,Enero,Ene. 2019,AAP,Juliaca,carga nacional,69.23
2019,Enero,Ene. 2019,AAP,Puerto Maldonado,carga nacional,46.51
2019,Enero,Ene. 2019,AAP,Tacna,carga nacional,65.79
2019,Enero,Ene. 2019,ADP,Cajamarca,carga nacional,34.71
2019,Enero,Ene. 2019,ADP,Chiclayo,carga nacional,66.18
2019,Enero,Ene. 2019,ADP,Iquitos,carga nacional,718.33
2019,Enero,Ene. 2019,ADP,Iquitos,carga internacional,14.54
2019,Enero,Ene. 2019,ADP,Piura,carga nacional,115.11
2019,Enero,Ene. 2019,ADP,Pucallpa,carga nacional,133.62
2019,Enero,Ene. 2019,ADP,Tarapoto,carga nacional,123.09
2019,Enero,Ene. 2019,ADP,Trujillo,carga nacional,39.46
2019,Enero,Ene. 2019,ADP,Tumbes,carga nacional,19.99
2019,Enero,Ene. 2019,COR,Atalaya,carga nacional,2.38
2019,Enero,Ene. 2019,COR,Cusco,carga nacional,122.63
2019,Enero,Ene. 2019,COR,Huánuco,carga nacional,8.00
2019,Enero,Ene. 2019,COR,Jauja,carga nacional,0.08
2019,Enero,Ene. 2019,COR,Tingo María,carga nacional,9.40
2019,Enero,Ene. 2019,COR,Yurimaguas,carga nacional,13.50
2019,Enero,Ene. 2019,LAP,Lima,carga nacional,"1,892.71"
2019,Enero,Ene. 2019,LAP,Lima,carga internacional,"21,963.97"
2019,Febrero,Feb. 2019,AAP,Arequipa,carga nacional,205.92
2019,Febrero,Feb. 2019,AAP,Ayacucho,carga nacional,14.02
2019,Febrero,Feb. 2019,AAP,Juliaca,carga nacional,70.95
2019,Febrero,Feb. 2019,AAP,Puerto Maldonado,carga nacional,48.29
2019,Febrero,Feb. 2019,AAP,Tacna,carga nacional,78.41
2019,Febrero,Feb. 2019,ADP,Cajamarca,carga nacional,33.86
2019,Febrero,Feb. 2019,ADP,Chiclayo,carga nacional,45.49
2019,Febrero,Feb. 2019,ADP,Iquitos,carga nacional,725.92
2019,Febrero,Feb. 2019,ADP,Piura,carga nacional,103.51
2019,Febrero,Feb. 2019,ADP,Pucallpa,carga nacional,113.32
2019,Febrero,Feb. 2019,ADP,Tarapoto,carga nacional,125.17
2019,Febrero,Feb. 2019,ADP,Trujillo,carga nacional,41.21
2019,Febrero,Feb. 2019,ADP,Tumbes,carga nacional,19.00
2019,Febrero,Feb. 2019,COR,Atalaya,carga nacional,2.46
2019,Febrero,Feb. 2019,COR,Cusco,carga nacional,106.43
2019,Febrero,Feb. 2019,COR,Huánuco,carga nacional,11.50
2019,Febrero,Feb. 2019,COR,Jauja,carga nacional,0.82
2019,Febrero,Feb. 2019,COR,Tingo María,carga nacional,10.50
2019,Febrero,Feb. 2019,COR,Yurimaguas,carga nacional,12.25
2019,Febrero,Feb. 2019,LAP,Lima,carga nacional,"1,887.86"
2019,Febrero,Feb. 2019,LAP,Lima,carga internacional,"15,837.73"
2019,Marzo,Mar. 2019,AAP,Arequipa,carga nacional,182.93
2019,Marzo,Mar. 2019,AAP,Ayacucho,carga nacional,15.38
2019,Marzo,Mar. 2019,AAP,Juliaca,carga nacional,77.05
2019,Marzo,Mar. 2019,AAP,Puerto Maldonado,carga nacional,55.10
2019,Marzo,Mar. 2019,AAP,Tacna,carga nacional,73.06
2019,Marzo,Mar. 2019,ADP,Cajamarca,carga nacional,36.68
2019,Marzo,Mar. 2019,ADP,Chiclayo,carga nacional,61.65
2019,Marzo,Mar. 2019,ADP,Iquitos,carga nacional,913.95
2019,Marzo,Mar. 2019,ADP,Iquitos,carga internacional,1.48
2019,Marzo,Mar. 2019,ADP,Piura,carga nacional,125.47
2019,Marzo,Mar. 2019,ADP,Pucallpa,carga nacional,150.46
2019,Marzo,Mar. 2019,ADP,Tarapoto,carga nacional,137.48
2019,Marzo,Mar. 2019,ADP,Trujillo,carga nacional,38.63
2019,Marzo,Mar. 2019,ADP,Tumbes,carga nacional,22.32
2019,Marzo,Mar. 2019,COR,Atalaya,carga nacional,3.31
2019,Marzo,Mar. 2019,COR,Cusco,carga nacional,126.12
2019,Marzo,Mar. 2019,COR,Huánuco,carga nacional,14.54
2019,Marzo,Mar. 2019,COR,Jauja,carga nacional,4.58
2019,Marzo,Mar. 2019,COR,Tingo María,carga nacional,13.54
2019,Marzo,Mar. 2019,COR,Yurimaguas,carga nacional,12.77
2019,Marzo,Mar. 2019,LAP,Lima,carga nacional,"2,257.34"
2019,Marzo,Mar. 2019,LAP,Lima,carga internacional,"18,690.35"
2019,Abril,Abr. 2019,AAP,Arequipa,carga nacional,166.59
2019,Abril,Abr. 2019,AAP,Ayacucho,carga nacional,17.88
2019,Abril,Abr. 2019,AAP,Juliaca,carga nacional,69.27
2019,Abril,Abr. 2019,AAP,Puerto Maldonado,carga nacional,56.16
