Año,Mes,Periodo,Infraestructura,Aeropuerto,Tipo vuelo,Número de Operaciones
2019,Enero,201901,LAP,Lima,Oper. NACIONALES,"8,438"
2019,Enero,201901,LAP,Lima,Oper. INTERNACIONALES,"7,289"
2019,Enero,201901,COR,Andahuaylas,Oper. MILITARES,12
2019,Enero,201901,COR,Atalaya,Oper. NACIONALES,182
2019,Enero,201901,COR,Atalaya,Oper. MILITARES,10
2019,Enero,201901,COR,Chimbote,Oper. NACIONALES,2
2019,Enero,201901,COR,Chimbote,Oper. MILITARES,4
2019,Enero,201901,COR,Chimbote,Oper. INSTRUCCIÓN,52
2019,Enero,201901,COR,Cusco,Oper. NACIONALES,"2,439"
2019,Enero,201901,COR,Cusco,Oper. MILITARES,10
2019,Enero,201901,COR,Cusco,Oper. INTERNACIONALES,168
2019,Enero,201901,COR,Huánuco,Oper. NACIONALES,62
2019,Enero,201901,COR,Huánuco,Oper. MILITARES,4
2019,Enero,201901,COR,Ilo,Oper. NACIONALES,12
2019,Enero,201901,COR,Ilo,Oper. MILITARES,34
2019,Enero,201901,COR,Jaén,Oper. NACIONALES,182
2019,Enero,201901,COR,Jaén,Oper. MILITARES,8
2019,Enero,201901,COR,Jauja,Oper. NACIONALES,130
2019,Enero,201901,COR,Jauja,Oper. MILITARES,20
2019,Enero,201901,COR,Juanjui,Oper. NACIONALES,12
2019,Enero,201901,COR,Mazamari,Oper. NACIONALES,2
2019,Enero,201901,COR,Mazamari,Oper. MILITARES,343
2019,Enero,201901,COR,Nazca,Oper. NACIONALES,"2,923"
2019,Enero,201901,COR,Nazca,Oper. INSTRUCCIÓN,68
2019,Enero,201901,COR,Rioja,Oper. NACIONALES,4
2019,Enero,201901,COR,Tingo María,Oper. NACIONALES,58
2019,Enero,201901,COR,Tingo María,Oper. MILITARES,18
2019,Enero,201901,COR,Tocache,Oper. NACIONALES,8
2019,Enero,201901,COR,Yurimaguas,Oper. NACIONALES,434
2019,Enero,201901,COR,Yurimaguas,Oper. MILITARES,2
2019,Enero,201901,COR,Yurimaguas,Oper. INSTRUCCIÓN,4
2019,Enero,201901,ADP,Cajamarca,Oper. NACIONALES,154
2019,Enero,201901,ADP,Chachapoyas,Oper. NACIONALES,120
2019,Enero,201901,ADP,Chiclayo,Oper. NACIONALES,329
2019,Enero,201901,ADP,Chiclayo,Oper. MILITARES,61
2019,Enero,201901,ADP,Chiclayo,Oper. INTERNACIONALES,30
2019,Enero,201901,ADP,Chiclayo,Oper. INSTRUCCIÓN,542
2019,Enero,201901,ADP,Huaraz-Anta,Oper. NACIONALES,14
2019,Enero,201901,ADP,Iquitos,Oper. NACIONALES,969
2019,Enero,201901,ADP,Iquitos,Oper. MILITARES,78
2019,Enero,201901,ADP,Iquitos,Oper. INTERNACIONALES,30
2019,Enero,201901,ADP,Pisco,Oper. NACIONALES,531
2019,Enero,201901,ADP,Pisco,Oper. MILITARES,690
2019,Enero,201901,ADP,Pisco,Oper. INTERNACIONALES,57
2019,Enero,201901,ADP,Pisco,Oper. INSTRUCCIÓN,"3,115"
2019,Enero,201901,ADP,Piura,Oper. NACIONALES,655
2019,Enero,201901,ADP,Piura,Oper. MILITARES,68
2019,Enero,201901,ADP,Piura,Oper. INTERNACIONALES,16
2019,Enero,201901,ADP,Piura,Oper. INSTRUCCIÓN,10
2019,Enero,201901,ADP,Pucallpa,Oper. NACIONALES,"1,122"
2019,Enero,201901,ADP,Pucallpa,Oper. MILITARES,104
2019,Enero,201901,ADP,Pucallpa,Oper. INSTRUCCIÓN,254
2019,Enero,201901,ADP,Talara,Oper. NACIONALES,256
2019,Enero,201901,ADP,Talara,Oper. INTERNACIONALES,3
2019,Enero,201901,ADP,Tarapoto,Oper. NACIONALES,893
2019,Enero,201901,ADP,Tarapoto,Oper. MILITARES,71
2019,Enero,201901,ADP,Tarapoto,Oper. INTERNACIONALES,4
2019,Enero,201901,ADP,Tarapoto,Oper. INSTRUCCIÓN,109
2019,Enero,201901,ADP,Trujillo,Oper. NACIONALES,603
2019,Enero,201901,ADP,Trujillo,Oper. MILITARES,73
2019,Enero,201901,ADP,Trujillo,Oper. INTERNACIONALES,4
2019,Enero,201901,ADP,Trujillo,Oper. INSTRUCCIÓN,613
2019,Enero,201901,ADP,Tumbes,Oper. NACIONALES,150
2019,Enero,201901,ADP,Tumbes,Oper. MILITARES,1
2019,Enero,201901,ADP,Tumbes,Oper. INTERNACIONALES,18
